"Open Positions Summary"
"","Name","Symbol","Exchange","Type","Amount","Avg Price","Current Price","Extended Hours","Extended Hours (%)","Prev.","Market Value","Commission","Weight","Daily P/L","Daily P/L%","Net P/L%","Net P/L","Next Earnings Date","Exchange","Last","Bid","Ask","Extended Hours","Extended Hours (%)","Open","Prev.","High","Low","Chg.","Chg. %","Vol.","Next Earnings Date","Time","Market Cap","Revenue","Average Vol. (3m)","EPS","P/E Ratio","Beta","Dividend","Yield","5 Minutes","15 Minutes","30 Minutes","Hourly","5 Hours","Daily","Weekly","Monthly","Daily","1 Week","1 Month","YTD","1 Year","3 Years"

"Market Value","Rp0.00"
"Open P/L","Rp0.00 / 0.00%"
"Daily P/L","Rp81,120,020,587.87 / 0.17%"
"Total P/L","Rp214,109,737,880,583.00"


"Open Positions"
"","Name","Symbol","Exchange","Open Date","Type","Amount","Open Price","Current Price","Extended Hours","Extended Hours (%)","Prev.","Market Value","Commission","Net P/L%","Weight","Daily P/L","Daily P/L%","Net P/L","Next Earnings Date"


"Closed Positions"
"","Name","Symbol","Exchange","Open Date","Type","Amount","Open Price","Close Date","Close Price","Gain%","Net P/L"
"","DJ Islamic Market World",".DJIMI","GLOBAL","04/28/2021","BUY","1.00000000","5,864.06","04/28/2021","5,865.48","0.02%","Rp20,587.87"
"","BTC/IDR","BTC/IDR","Luno","04/28/2021","SELL","60000.00000000","811,111,000","04/28/2021","809,759,000","0.17%","Rp81,120,000,000.00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","04/27/2021","SELL","1000000000.00000000","815,001,000","04/27/2021","815,001,000","0.00%","Rp0.00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","04/27/2021","SELL","60000.00000000","817,153,821","04/27/2021","816,680,250","0.06%","Rp28,414,260,000.00"
"","BCH/USD","BCH/USD","Huobi","04/27/2020","SELL","1000000.00000000","874.23","04/27/2021","874.01","1.26%","Rp3,189,670,000.00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","04/26/2021","SELL","2000.00000000","756,390,579","04/27/2021","817,179,714","-8.04%","-Rp121,578,270,000.00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","04/26/2021","SELL","100.00000000","756,390,579","04/27/2021","817,821,851","-8.12%","-Rp6,143,127,200.00"
"","USDT/USD","USDT/USD","Kraken","04/27/2021","SELL","1000000000.00000000","1.0012","04/27/2021","1.0013","-0.10%","-Rp1,449,850,000.00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","04/26/2021","SELL","2000.00000000","756,062,711","04/27/2021","817,821,851","-8.17%","-Rp123,518,280,000.00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","04/26/2021","SELL","20000.00000000","756,062,711","04/27/2021","817,823,464","-8.17%","-Rp1,235,215,060,000.00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","04/26/2021","SELL","20000.00000000","756,383,983","04/27/2021","817,823,464","-8.12%","-Rp1,228,789,620,000.00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","04/26/2021","SELL","20000.00000000","756,383,983","04/27/2021","817,823,464","-8.12%","-Rp1,228,789,620,000.00"
"","EUR/USD","EUR/USD","FX","04/27/2021","SELL","999999999999.99999999","1.2083","04/27/2021","1.2082","0.08%","Rp1,449,849,999,999.84"
"","AUD/USD","AUD/USD","FX","04/27/2021","SELL","999999999999.99999999","0.7783","04/27/2021","0.7784","-0.01%","-Rp1,449,849,999,999.80"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","04/26/2021","SELL","2000.00000000","756,390,579","04/27/2021","817,927,596","-8.14%","-Rp123,074,034,000.00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","04/26/2021","SELL","100.00000000","756,062,711","04/27/2021","817,926,702","-8.18%","-Rp6,186,399,100.00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","04/27/2021","SELL","100000.00000000","816,996,000","04/27/2021","818,781,000","-0.22%","-Rp178,500,000,000.00"
"","LTC/GBP","LTC/GBP","Coinbase Pro","04/27/2021","SELL","10000.00000000","185.63","04/27/2021","185.52","0.06%","Rp22,137,060.00"
"","Litecoin","LTC/USD","Investing.com","04/27/2021","SELL","1000.00000000","257.630","04/27/2021","257.312","0.12%","Rp4,610,523.00"
"","FTSE All World",".FTAWORLDSR","GLOBAL","04/26/2021","BUY","10000.00000000","464.60","04/26/2021","465.77","0.25%","Rp169,632,450.00"
"","DJ Islamic Market World",".DJIMI","GLOBAL","04/26/2021","BUY","1.00000000","5,869.10","04/26/2021","5,877.01","0.13%","Rp114,683.14"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","10/10/2019","BUY","1000000.00000000","788,447,108","04/26/2021","798,692,946","1.30%","Rp10,245,837,999,990.00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","12/18/2019","BUY","999999999999.99999999","788,069,866","04/26/2021","799,619,599","1.47%","Rp100,000,000,000,000.00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","04/25/2021","SELL","999999999999.99999999","765,857,358","04/25/2021","765,845,305","0.00%","Rp100,000,000,000,000.00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","04/25/2021","SELL","999999999999.99999999","767,752,094","04/25/2021","765,857,358","0.25%","Rp100,000,000,000,000.00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","09/01/2020","SELL","999999999999.99999999","764,891,619","04/25/2021","765,857,358","-0.13%","-Rp100,000,000,000,000.00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","07/17/2020","SELL","1000000000.00000000","760,206,766","04/25/2021","764,841,906","-0.61%","-Rp100,000,000,000,000.00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/11/2020","SELL","1000000000.00000000","764,842,854","04/25/2021","764,841,906","0.00%","Rp947,999,999,000.00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","10/15/2020","SELL","1000000000.00000000","764,842,854","04/25/2021","764,841,906","0.00%","Rp947,999,999,000.00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","04/25/2021","SELL","10.00000000","776,546,000","04/25/2021","776,938,000","-0.05%","-Rp3,920,000.00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","04/25/2021","SELL","1000000000.00000000","776,541,468","04/25/2021","774,682,689","0.24%","Rp100,000,000,000,000.00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","04/24/2021","SELL","1000000000.00000000","752,484,902","04/24/2021","752,486,741","-0.00%","-Rp1,839,000,000,001.00"
"","BTC/EUR","BTC/EUR","Coinbase Pro","04/24/2021","SELL","4000000.00000000","41,384.7","04/24/2021","41,271.2","0.27%","Rp7,947,179,200,000.00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","04/24/2021","SELL","10.00000000","771,615,800","04/24/2021","766,774,041","0.63%","Rp48,417,590.00"

"Closed P/L","Rp214,109,737,880,583.00"


