"Rangkuman Posisi Terbuka"
"","Nama","Simbol","Bursa","Jenis","Jumlah","Harga Rata-Rata","Hrg Skrg","Perpanjangan Waktu","Perpanjangan Waktu (%)","Sblm.","Nilai Pasar","Komisi","Bobot","P/L Harian","P/L Harian %","P/L Bersih%","P/L Bersih","Tanggal Penghasilan Berikutnya","Terakhir","Bid","Ask","Pembukaan","Sblm.","Tertinggi","Terendah","Prb.","Prb.%","Vol.","Tanggal Penghasilan Berikutnya","Waktu","Market Cap","Pendapatan","Vol.Rata-Rata (3bln)","EPS","Rasio P/E","Beta","Dividen","Imbal Hasil","5 Menit","15 Menit","30 Menit","Per Jam","5 Jam","Harian","Mingguan","Bulanan","Harian","1 Minggu","1 Bulan","YTD","1 Tahun","3 Tahun"
"","AUD/USD","AUD/USD","FX","Beli","1000000000.00000000","0,7608","0,7607","--","--","0,7594","Rp11.014.936.000.000,00","Rp0,00","39,35%","-Rp1.448.000.000,00","-0,01%","-0,01%","-Rp1.448.000.000,00","--","0,7608","-","-","0,7596","0,7594","0,7610","0,7593","+0,0014","+0,18%","3.054","--","07:05:06","-","","29.082","-","-","-","-","-","Sangat Beli","Sangat Beli","Beli","Netral","Sangat Jual","Sangat Jual","Netral","Sangat Beli","0,16%","0,33%","-1,53%","-1,13%","25,32%","-0,94%"
"","BRL/AUD","BRL/AUD","FX","Jual","1000000.00000000","0,2277","0,2277","--","--","0,2278","-Rp2.508.265.782,00","Rp0,00","0,01%","Rp1.101.566,00","0,04%","0,00%","Rp0,00","--","0,2277","-","-","0,2278","0,2278","0,2282","0,2276","-0,0001","-0,04%","3.101","--","07:05:06","-","","41.650","-","-","-","-","-","Sangat Jual","Sangat Jual","Sangat Jual","Sangat Jual","Sangat Jual","Sangat Jual","Sangat Jual","Sangat Jual","-0,07%","-2,98%","-0,26%","-9,00%","-27,46%","-42,23%"
"","EUR/AUD","EUR/AUD","FX","Jual","1000000000.00000000","1,5375","1,5409","--","--","1,5415","-Rp16.974.030.494.000,00","Rp0,00","60,64%","Rp6.609.396.000,00","0,04%","-0,22%","-Rp37.453.244.000,00","--","1,5409","1,5406","1,5412","1,5417","1,5415","1,5433","1,5406","-0,0006","-0,04%","7.031","--","07:05:20","-","","69.710","-","-","-","-","-","Sangat Jual","Sangat Jual","Sangat Jual","Sangat Jual","Sangat Jual","Sangat Jual","Sangat Jual","Sangat Jual","-0,03%","-1,06%","-0,49%","-2,89%","-14,67%","-3,97%"

"Nilai Pasar","-Rp5.961.602.759.782,00"
"P/L Terbuka","-Rp38.901.244.000,00 / -0,14%"
"P/L Harian","Rp58.024.590.191.226,00 / 0,02%"
"P/L Total","Rp240.100.371.106.229.216,00"


"Posisi Terbuka"
"","Nama","Simbol","Bursa","Tgl Buka","Jenis","Jumlah","Harga Pembukaan","Hrg Skrg","Perpanjangan Waktu","Perpanjangan Waktu (%)","Sblm.","Nilai Pasar","Komisi","P/L Bersih%","Bobot","P/L Harian","P/L Harian %","P/L Bersih","Tanggal Penghasilan Berikutnya"
"","AUD/USD","AUD/USD","FX","03/31/2021","Beli","1000000000.00000000","0,7608","0,7607","--","--","0,7594","Rp11.014.936.000.000,00","Rp0,00","-0,01%","39,35%","-Rp1.448.000.000,00","-0,01%","-Rp1.447.999.999,9998","--"
"","BRL/AUD","BRL/AUD","FX","03/30/2021","Jual","1000000.00000000","0,2277","0,2277","--","--","0,2278","-Rp2.508.265.782,00","Rp0,00","0,00%","0,01%","Rp1.101.566,00","0,04%","Rp0,0000","--"
"","EUR/AUD","EUR/AUD","FX","03/30/2021","Jual","1000000000.00000000","1,5375","1,5409","--","--","1,5415","-Rp16.974.030.494.000,00","Rp0,00","-0,22%","60,64%","Rp6.609.396.000,00","0,04%","-Rp37.453.243.999,9980","--"


"Posisi Tertutup"
"","Nama","Simbol","Bursa","Tanggal Pembukaan","Jenis","Jumlah","Harga Pembukaan","Tanggal Penutupan","Harga Penutupan","Untung%","P/L Bersih"
"","Emas Berjangka","GCM1","ICE","03/31/2021","Beli","10000000.00000000","1.685,45","03/31/2021","1.685,85","0,02%","Rp57.919.999.999.979,73"
"","Xaurum BTC Index","XAUR/BTC","Investing.com","03/30/2021","Jual","11000000.00000000","0,00000037","03/31/2021","0,00000040","-8,11%","-Rp279.129.510,00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/30/2021","Beli","10000.00000000","851.821.403","03/31/2021","844.223.586","-0,89%","-Rp75.978.170.000,00"
"","BTC/IDR","BTC/IDR","Luno","03/30/2021","Jual","1000000.00000000","833.888.000","03/30/2021","848.600.000","-1,76%","-Rp14.712.000.000.000,00"
"","Bitcoin","BTC/USD","Investing.com","03/30/2021","Beli","10000.00000000","57.386,0","03/30/2021","59.170,5","3,11%","Rp258.395.600.000,00"
"","USD/EUR","USD/EUR","FX","03/30/2021","Jual","10000000.00000000","0,8501","03/30/2021","0,8524","-0,27%","-Rp390.390.500,00"
"","Bitcoin","BTC/USD","Investing.com","03/30/2021","Jual","10000000.00000000","57.382,4","03/30/2021","59.146,4","-3,07%","-Rp255.427.200.000.000,00"
"","EUR/GBP","EUR/GBP","FX","03/30/2021","Beli","1000000000.00000000","0,8540","03/30/2021","0,8540","0,00%","Rp0,00"
"","BTC/USD","BTC/USD","Bitfinex","03/30/2021","Jual","1000000.00000000","59.348,0","03/30/2021","59.251,0","0,16%","Rp1.404.560.000.000,00"
"","BTC/XAU","BTC/XAU","Synthetic","03/30/2021","Jual","1000000.00000000","33,8331","03/30/2021","35,1656","-3,94%","-Rp325.084.162.000,00"
"","BTC/AUD","BTC/AUD","Luno","03/30/2021","Jual","10000000.00000000","75.488,9","03/30/2021","77.900,0","-3,19%","-Rp265.598.578.260.000,00"
"","FTSE 350 Banks",".FTNMX301010","LON","03/30/2021","Beli","1000000000.00000000","2.838,03","03/30/2021","2.889,65","1,82%","Rp1.027.083.139.761.236,00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/30/2021","Beli","10000000.00000000","835.070.408","03/30/2021","834.200.750","-0,10%","-Rp8.696.580.000.000,00"
"","FTSE RAFI US Mid Small 1500",".FTFR15","NYSE","03/27/2021","Beli","200000000.00000000","17.201,77","03/29/2021","17.122,77","-0,46%","-Rp228.784.000.144.800,00"
"","IDR/GBP","IDR/GBP","FX","03/29/2021","Jual","1000000000.00000000","0,00005","03/29/2021","0,00005","0,00%","Rp0,00"
"","IDR/AUD","IDR/AUD","FX","03/29/2021","Jual","1000000000.00000000","0,00009","03/29/2021","0,00009","0,00%","Rp0,00"
"","EUR/USD","EUR/USD","FX","03/29/2021","Beli","1000000000.00000000","1,1794","03/29/2021","1,1771","-0,20%","-Rp33.304.000.000,00"
"","AUD/USD","AUD/USD","FX","03/29/2021","Beli","1000000000.00000000","0,7635","03/29/2021","0,7648","0,17%","Rp18.824.000.000,00"
"","IDR/EUR","IDR/EUR","FX","03/29/2021","Jual","1000000000.00000000","0,00006","03/29/2021","0,00006","0,00%","Rp0,00"
"","IDR/EUR","IDR/EUR","FX","03/29/2021","Jual","1000000000.00000000","0,00006","03/29/2021","0,00006","0,00%","Rp0,00"
"","IDR/EUR","IDR/EUR","FX","03/29/2021","Jual","1000000000.00000000","0,00006","03/29/2021","0,00006","0,00%","Rp0,00"
"","RUB/IDR","RUB/IDR","FX","03/29/2021","Jual","1000000000.00000000","190,04","03/29/2021","189,95","0,05%","Rp90.000.000,00"
"","BTC/XAU","BTC/XAU","Synthetic","03/29/2021","Jual","100000.00000000","33,2076","03/29/2021","33,6663","-1,38%","-Rp11.190.702.072,00"
"","BTC/XAU","BTC/XAU","Synthetic","03/29/2021","Jual","100000.00000000","33,2076","03/29/2021","33,6486","-1,33%","-Rp10.758.882.960,00"
"","BTC/XAU","BTC/XAU","Synthetic","03/29/2021","Jual","300000.00000000","33,2076","03/29/2021","33,6486","-1,33%","-Rp32.276.648.880,00"
"","BTC/XAU","BTC/XAU","Synthetic","03/29/2021","Jual","1000000.00000000","33,1776","03/29/2021","33,6486","-1,42%","-Rp114.907.797.600,00"
"","BTC/IDR","BTC/IDR","Luno","03/29/2021","Jual","1000000000.00000000","836.000.000","03/29/2021","835.501.000","0,06%","Rp100.000.000.000.000,00"
"","BTC/IDR","BTC/IDR","Luno","03/29/2021","Jual","1000000000.00000000","836.000.000","03/29/2021","835.501.000","5,97%","Rp100.000.000.000.000,00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/29/2021","Jual","1000000000.00000000","839.798.319","03/29/2021","839.797.370","0,00%","Rp949.000.000.000,00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/29/2021","Jual","1000000000.00000000","839.781.818","03/29/2021","839.797.370","-0,00%","-Rp15.552.000.000.000,00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/29/2021","Jual","1000000000.00000000","839.781.818","03/29/2021","839.798.319","-0,00%","-Rp16.501.000.000.000,00"
"","XAUR/USD","XAUR/USD","Synthetic","03/29/2021","Jual","100000.00000000","0,020870","03/29/2021","0,021004","-64,21%","-Rp194.032,00"
"","EUR/GBP","EUR/GBP","FX","03/29/2021","Beli","1000000000.00000000","0,8512","03/29/2021","0,8515","0,04%","Rp5.969.100.000,00"
"","FTSE Indonesia",".FTWIIDNL","JK","03/29/2021","Jual","10000000.00000000","3.178,17","03/29/2021","3.178,17","0,00%","-Rp1.000,00"
"","FTSE 100","UK100","LON","03/27/2021","Beli","200000000.00000000","6.740,59","03/29/2021","6.718,22","-0,33%","-Rp89.019.178.198.970,00"
"","FTSE MIB","IT40","MI","03/27/2021","Beli","200000000.00000000","24.393,26","03/29/2021","24.358,50","-0,14%","-Rp117.999.772.135.780,00"
"","Ferrari NV","RACE.MI","MI","03/28/2021","Beli","10000000.00000000","173,40","03/29/2021","172,40","-0,58%","-Rp169.735.033.947,00"
"","BTC/IDR","BTC/IDR","Luno","03/29/2021","Jual","1000000.00000000","815.998.000","03/29/2021","829.900.000","-1,70%","-Rp13.902.000.000.000,00"
"","ETH/XAU","ETH/XAU","Synthetic","03/29/2021","Beli","1000000000.00000000","1,00316","03/29/2021","1,00804","0,49%","Rp1.190.552.128.000,00"
"","Bitcoin","BTC/USD","Investing.com","03/29/2021","Beli","1000000000.00000000","57.135,2","03/29/2021","57.354,6","0,38%","Rp3.176.912.000.000.000,00"
"","BTC/ETH","BTC/ETH","Synthetic","03/29/2021","Jual","100000000.00000000","32,94","03/29/2021","33,04","-0,30%","-Rp264.950.000.000.000,00"
"","Ferrari NV","RACE.MI","MI","03/29/2021","Jual","100000.00000000","173,40","03/29/2021","172,35","0,61%","Rp1.782.217.500,00"
"","FTSE 100","UK100","LON","03/29/2021","Jual","5000000.00000000","6.740,59","03/29/2021","6.712,95","0,41%","Rp2.749.765.360.206,00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/29/2021","Jual","150000000.00000000","819.276.923","03/29/2021","828.148.276","-1,08%","-Rp100.000.000.000.000,00"
"","BTC/USD","BTC/USD","Binance","03/29/2021","Jual","10000000.00000000","56.209,5","03/29/2021","56.976,7","-1,36%","-Rp111.090.560.000.000,00"
"","Bitcoin","BTC/USD","Investing.com","03/29/2021","Jual","10000000.00000000","55.243,4","03/29/2021","56.967,2","-3,12%","-Rp249.606.240.000.000,00"
"","Bitcoin","BTC/USD","Investing.com","03/29/2021","Jual","1000000.00000000","55.226,8","03/29/2021","56.967,2","-3,15%","-Rp25.200.992.000.000,00"
"","Bitcoin","BTC/USD","Investing.com","03/29/2021","Jual","1000000.00000000","55.013,0","03/29/2021","56.970,6","-3,56%","-Rp28.346.048.000.000,00"
"","Bitcoin","BTC/USD","Investing.com","03/29/2021","Jual","1000000.00000000","54.973,1","03/29/2021","56.963,0","-3,62%","-Rp28.813.752.000.000,00"
"","AUD/USD","AUD/USD","FX","03/29/2021","Beli","1000000000.00000000","0,7616","03/29/2021","0,7618","0,03%","Rp2.896.000.000,00"
"","EUR/USD","EUR/USD","FX","03/29/2021","Beli","1000000000.00000000","1,1778","03/29/2021","1,1774","-0,03%","-Rp5.792.000.000,00"
"","BTC/IDR","BTC/IDR","Luno","03/29/2021","Jual","1000000.00000000","804.001.000","03/29/2021","805.036.000","-0,13%","-Rp1.035.000.000.000,00"
"","BTC/IDR","BTC/IDR","Luno","03/29/2021","Jual","1000000.00000000","808.140.000","03/29/2021","805.037.000","0,38%","Rp3.103.000.000.000,00"
"","BTC/IDR","BTC/IDR","Luno","03/29/2021","Jual","10000000.00000000","808.140.000","03/29/2021","805.037.000","0,38%","Rp31.029.999.985.550,00"
"","RUB/IDR","RUB/IDR","FX","03/29/2021","Jual","1000000000.00000000","190,55","03/29/2021","190,51","0,21%","Rp40.000.000,00"
