"Open Positions Summary"
"","Name","Symbol","Exchange","Type","Amount","Avg Price","Current Price","Market Value","Weight","Net P/L%","Net P/L","Last","Open","High","Low","Chg.","Chg. %","Vol.","Time","Market Cap","Revenue","Average Vol. (3m)","EPS","P/E Ratio","Beta","15 Minutes","Hourly","Daily","1 Week","1 Month","YTD","1 Year","3 Years"

"Market Value","Rp0.00"
"Open P/L","Rp0.00 / 0.00%"
"Daily P/L","Rp729,311,961,590,237.00 / 0.00%"
"Total P/L","Rp804,029,891,379,900.88"


"Open Positions"
"","Name","Symbol","Open Date","Type","Amount","Open Price","Current Price","Market Value","Net P/L%","Daily P/L","Net P/L"


"Closed Positions"
"","Name","Symbol","Exchange","Open Date","Amount","Open Price","Close Date","Close Price","Gain%","Net P/L"
"","USD/IDR","USD/IDR","FX","03/19/2021","1500000000.00000000","14,410.0","03/19/2021","14,410.0","-0.00%","-Rp100.00"
"","USD/JPY","USD/JPY","FX","03/19/2021","1000000000.00000000","108.84","03/19/2021","108.94","91.88%","Rp13,226,999,899.99"
"","USD/KRW","USD/KRW","FX","03/19/2021","1000000000.00000000","1,130.84","03/19/2021","1,130.01","-73.40%","-Rp10,599,100,100.12"
"","Bitcoin","BTC/USD","Investing.com","03/19/2021","1000000000.00000000","57,859.6","03/19/2021","57,848.9","0.02%","Rp154,186,999,992,751.78"
"","BTC/KRW","BTC/KRW","Coinone","03/19/2021","1000000000.00000000","67,501,000","03/19/2021","67,468,000","48.89%","Rp421,409,999,855,635.12"
"","BTC/XAU","BTC/XAU","Synthetic","03/19/2021","1000000000.00000000","33.3754","03/19/2021","33.3295","137.53%","Rp11,486,899,113,496.41"
"","Bitcoin","BTC/USD","Investing.com","03/19/2021","1000000000.00000000","57,841.0","03/19/2021","57,856.6","0.03%","Rp224,795,998,558,985.59"
"","Bitcoin GBP Index","BTC/GBP","Investing.com","03/19/2021","10.00000000","41,639.8","03/19/2021","41,597.3","-0.10%","-Rp8,541,742.30"
"","Bitcoin","BTC/USD","Investing.com","03/19/2021","1.00000000","58,671.2","03/19/2021","57,938.3","-1.25%","-Rp10,568,438.10"
"","Bitcoin","BTC/USD","Investing.com","03/19/2021","1000000000.00000000","58,844.6","03/19/2021","58,873.4","-0.05%","-Rp415,008,000,028,860.00"
"","Bitcoin GBP Index","BTC/GBP","Investing.com","03/19/2021","1000000.00000000","42,533.3","03/19/2021","42,544.2","0.03%","Rp218,812,939,253.88"
"","GAU/IDR","GAU/IDR","FX","03/19/2021","100000000.00000000","802,186.69","03/19/2021","802,175.88","0.13%","Rp1,080,979,922.49"
"","Bitcoin GBP Index","BTC/GBP","Investing.com","03/19/2021","100000000.00000000","42,567.4","03/19/2021","42,497.4","-0.16%","-Rp140,522,200,009,840.00"
"","Gold","GCJ1","ICE","03/18/2021","100000.00000000","1,729.85","03/19/2021","1,729.75","0.01%","Rp14,409,971,179.99"
"","Bitcoin","BTC/USD","Investing.com","03/19/2021","1000.00000000","59,269.6","03/19/2021","59,295.8","-0.04%","-Rp377,549,205.00"
"","BTC/XAU","BTC/XAU","Synthetic","03/18/2021","100000.00000000","33.9238","03/19/2021","34.2415","-46.83%","-Rp7,950,738,557.39"
"","Bitcoin Euro Index","BTC/EUR","Investing.com","03/18/2021","1000000.00000000","49,886.5","03/19/2021","49,684.0","-0.41%","-Rp3,477,694,518,891.20"
"","Bitcoin","BTC/USD","Investing.com","03/18/2021","1000.00000000","59,447.7","03/18/2021","59,116.0","0.56%","Rp4,779,789,795.00"
"","Bitcoin GBP Index","BTC/GBP","Investing.com","03/18/2021","100000.00000000","42,618.7","03/18/2021","42,447.4","0.40%","Rp343,877,877,925.40"
"","Ethereum","ETH/USD","Investing.com","03/18/2021","100000.00000000","1,812.95","03/18/2021","1,811.66","0.07%","Rp1,858,875,301.80"
"","ETH/XAU","ETH/XAU","Synthetic","03/18/2021","100000.00000000","1.04465","03/18/2021","1.04623","-1.50%","-Rp39,798,726.94"
"","BTC/XAU","BTC/XAU","Synthetic","03/18/2021","100000.00000000","34.4779","03/18/2021","34.2528","65.29%","Rp5,633,335,457.36"
"","PHX/BTC","PHX/BTC","Huobi","03/18/2021","10000000.00000000","0.00000030","03/18/2021","0.00000030","0.00%","Rp0.00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/18/2021","1000000.00000000","866,166,023","03/18/2021","865,764,023","-0.05%","-Rp402,000,010,000.00"
"","BTC/GBP","BTC/GBP","Coinbase Pro","03/18/2021","100000.00000000","42,780.7","03/18/2021","42,697.5","-194.48%","-Rp167,020,686,835.13"
"","Gold","GCJ1","ICE","03/18/2021","1000000.00000000","1,731.80","03/18/2021","1,731.15","0.04%","Rp9,366,499,992,792.98"
"","Bank Central Asia","BBCA.JK","JK","03/18/2021","100000000.00000000","33,525","03/18/2021","33,525","0.00%","-Rp10.00"
"","FTSE4Good Global 100",".FT4GDGLOB100","GLOBAL","03/18/2021","10000.00000000","9,611.23","03/18/2021","9,636.91","0.27%","Rp3,700,486,414.90"
"","XAU/JPY","XAU/JPY","FX","03/18/2021","100000.00000000","188,497.50","03/18/2021","188,590.50","-4.93%","-Rp1,230,471,602.41"
"","BTC/USD","BTC/USD","Bitfinex","03/18/2021","1000.00000000","58,696.0","03/18/2021","58,926.0","3.92%","Rp3,314,127,172.22"
"","FTSE 100","UK100","LON","03/18/2021","100000.00000000","6,747.44","03/18/2021","6,747.45","-0.00%","-Rp20,084,637.30"
"","Bank Central Asia","BBCA.JK","JK","03/18/2021","1000000000.00000000","33,525","03/18/2021","33,525","-0.00%","-Rp10.00"
"","CRUISER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS D","0P0000UCUS","SA","03/18/2021","1000000.00000000","3.621","03/18/2021","3.621","0.00%","Rp0.00"
"","CRUISER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS D","0P0000UCUS","SA","03/18/2021","1000000.00000000","3.621","03/18/2021","3.621","-0.00%","-Rp2,591.49"
"","Gold","GCJ1","ICE","03/18/2021","1000.00000000","1,736.55","03/18/2021","1,736.45","0.01%","Rp144,100,000.00"
"","Gold","GCJ1","ICE","03/18/2021","10000.00000000","1,734.90","03/18/2021","1,735.55","0.04%","Rp9,366,496,973.90"
"","BTC/GBP","BTC/GBP","Coinbase Pro","03/18/2021","10000.00000000","41,757.4","03/18/2021","41,839.5","-19.66%","-Rp16,481,248,326.42"
"","Ethereum","ETH/USD","Investing.com","03/18/2021","10000.00000000","1,814.58","03/18/2021","1,817.22","-0.15%","-Rp380,424,000.00"
"","Bitcoin","BTC/USD","Investing.com","03/18/2021","10000.00000000","58,297.1","03/18/2021","58,365.0","-0.12%","-Rp9,784,390,000.00"
"","ETH/XAU","ETH/XAU","Synthetic","03/18/2021","10000.00000000","1.04284","03/18/2021","1.04397","-10.84%","-Rp2,827,946.93"
"","XAU/KWD","XAU/KWD","FX","03/18/2021","1000000000.00000000","528.7700","03/18/2021","528.7200","0.95%","Rp2,385,575,499,997.85"
"","Bitcoin","BTC/USD","Investing.com","03/18/2021","1000000000.00000000","58,954.5","03/18/2021","58,985.5","-0.05%","-Rp446,710,000,000,000.00"
"","Gold","GCJ1","ICE","03/18/2021","1000000000.00000000","1,749.30","03/18/2021","1,749.20","0.01%","Rp1,440,999,999,998,688.75"
"","Ethereum","ETH/USD","Investing.com","03/18/2021","1000000000.00000000","1,832.41","03/18/2021","1,830.39","0.11%","Rp29,108,200,000,000.00"
"","Gold","GCJ1","ICE","03/18/2021","1000000000.00000000","1,749.35","03/18/2021","1,749.85","-0.03%","-Rp720,500,000,000,000.00"

"Closed P/L","Rp804,029,891,379,900.88"


