"Open Positions Summary"
"","Name","Symbol","Exchange","Type","Amount","Avg Price","Current Price","Extended Hours","Extended Hours (%)","Prev.","Market Value","Commission","Weight","Daily P/L","Daily P/L%","Net P/L%","Net P/L","Next Earnings Date","Exchange","Last","Bid","Ask","Extended Hours","Extended Hours (%)","Open","Prev.","High","Low","Chg.","Chg. %","Vol.","Next Earnings Date","Time","Market Cap","Revenue","Average Vol. (3m)","EPS","P/E Ratio","Beta","Dividend","Yield","5 Minutes","15 Minutes","30 Minutes","Hourly","5 Hours","Daily","Weekly","Monthly","Daily","1 Week","1 Month","YTD","1 Year","3 Years"

"Market Value","$0.00"
"Open P/L","$0.00 / 0.00%"
"Daily P/L","$106,517,108,508.45 / 0.04%"
"Total P/L","$118,201,426,165.06"


"Open Positions"
"","Name","Symbol","Exchange","Open Date","Type","Amount","Open Price","Current Price","Extended Hours","Extended Hours (%)","Prev.","Market Value","Commission","Net P/L%","Weight","Daily P/L","Daily P/L%","Net P/L","Next Earnings Date"


"Closed Positions"
"","Name","Symbol","Exchange","Open Date","Type","Amount","Open Price","Close Date","Close Price","Gain%","Net P/L"
"","USD/IDR","USD/IDR","FX","03/19/2021","BUY","1500000000.00000000","14,410.0","03/19/2021","14,410.0","-0.00%","-$0.00"
"","USD/JPY","USD/JPY","FX","03/19/2021","BUY","1000000000.00000000","108.84","03/19/2021","108.94","91.88%","$917,799.99"
"","USD/KRW","USD/KRW","FX","03/19/2021","BUY","1000000000.00000000","1,130.84","03/19/2021","1,130.01","-73.40%","-$734,550.01"
"","Bitcoin","BTC/USD","Investing.com","03/19/2021","SELL","1000000000.00000000","57,859.6","03/19/2021","57,848.9","0.02%","$10,699,999,999.50"
"","BTC/KRW","BTC/KRW","Coinone","03/19/2021","SELL","1000000000.00000000","67,501,000","03/19/2021","67,468,000","48.89%","$29,204,999,990.00"
"","BTC/XAU","BTC/XAU","Synthetic","03/19/2021","SELL","1000000000.00000000","33.3754","03/19/2021","33.3295","137.53%","$79,644,302,982.64"
"","Bitcoin","BTC/USD","Investing.com","03/19/2021","BUY","1000000000.00000000","57,841.0","03/19/2021","57,856.6","0.03%","$15,599,999,900.00"
"","Bitcoin GBP Index","BTC/GBP","Investing.com","03/19/2021","BUY","10.00000000","41,639.8","03/19/2021","41,597.3","-0.10%","-$592.68"
"","Bitcoin","BTC/USD","Investing.com","03/19/2021","BUY","1.00000000","58,671.2","03/19/2021","57,938.3","-1.25%","-$733.41"
"","Bitcoin","BTC/USD","Investing.com","03/19/2021","SELL","1000000000.00000000","58,844.6","03/19/2021","58,873.4","-0.05%","-$28,800,000,002.00"
