"Open Positions Summary"
"","Name","Symbol","Exchange","Type","Amount","Avg Price","Current Price","Extended Hours","Extended Hours (%)","Prev.","Market Value","Commission","Weight","Daily P/L","Daily P/L%","Net P/L%","Net P/L","Next Earnings Date","Last","Bid","Ask","Open","Prev.","High","Low","Chg.","Chg. %","Vol.","Next Earnings Date","Time","Market Cap","Revenue","Average Vol. (3m)","EPS","P/E Ratio","Beta","Dividend","Yield","5 Minutes","15 Minutes","30 Minutes","Hourly","5 Hours","Daily","Weekly","Monthly","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","SELL","100000.00000000","852,689,000","852,654,000","--","--","848,094,016","-$5,930,208,570.00","$1.00","9.09%","$243,425.00","0.10%","0.10%","$243,424.00","--","852,654,000","852,643,000","852,654,000","848,094,016","848,094,016","862,000,000","847,000,000","+4559984","+0.54%","73","--","19:47:00","-","","-","-","-","-","-","-","Neutral","Neutral","Strong Sell","Neutral","Buy","Strong Buy","Strong Buy","Strong Buy","0.28%","-3.70%","0.41%","109.29%","743.30%","578.79%"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","SELL","1000000.00000000","852,572,000","852,654,000","--","--","848,094,016","-$59,302,085,700.00","$1.00","90.91%","-$5,703,100.00","-0.48%","-0.48%","-$5,703,101.00","--","852,654,000","852,643,000","852,654,000","848,094,016","848,094,016","862,000,000","847,000,000","+4559984","+0.54%","73","--","19:47:00","-","","-","-","-","-","-","-","Neutral","Neutral","Strong Sell","Neutral","Buy","Strong Buy","Strong Buy","Strong Buy","0.28%","-3.70%","0.41%","109.29%","743.30%","578.79%"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","SELL","1.00000000","852,404,000","852,654,000","--","--","848,094,016","-$59,302.09","$0.00","0.00%","-$17.39","-0.03%","-0.03%","-$17.00","--","852,654,000","852,643,000","852,654,000","848,094,016","848,094,016","862,000,000","847,000,000","+4559984","+0.54%","73","--","19:47:00","-","","-","-","-","-","-","-","Neutral","Neutral","Strong Sell","Neutral","Buy","Strong Buy","Strong Buy","Strong Buy","0.28%","-3.70%","0.41%","109.29%","743.30%","578.79%"

"Market Value","-$65,232,353,572.09"
"Open P/L","-$5,459,694.39 / -0.01%"
"Daily P/L","$369,025,480,092.53 / 0.01%"
"Total P/L","$1,068,870,156,840.48"


"Open Positions"
"","Name","Symbol","Exchange","Open Date","Type","Amount","Open Price","Current Price","Extended Hours","Extended Hours (%)","Prev.","Market Value","Commission","Net P/L%","Weight","Daily P/L","Daily P/L%","Net P/L","Next Earnings Date"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/21/2021","SELL","100000.00000000","852,689,000","852,654,000","--","--","848,094,016","-$5,930,208,570.00","$1.00","0.10%","9.09%","$243,425.00","0.10%","$243,424","--"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/21/2021","SELL","1000000.00000000","852,572,000","852,654,000","--","--","848,094,016","-$59,302,085,700.00","$1.00","-0.48%","90.91%","-$5,703,100.00","-0.48%","-$5,703,101","--"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/21/2021","SELL","1.00000000","852,404,000","852,654,000","--","--","848,094,016","-$59,302.09","$0.00","-0.03%","0.00%","-$17.39","-0.03%","-$17","--"


"Closed Positions"
"","Name","Symbol","Exchange","Open Date","Type","Amount","Open Price","Close Date","Close Price","Gain%","Net P/L"
"","Bitcoin","BTC/USD","Investing.com","03/21/2021","SELL","1000000000.00000000","58,357.1","03/21/2021","58,329.1","0.05%","$27,999,999,900.00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/21/2021","SELL","100000.00000000","852,572,000","03/21/2021","852,573,000","-0.01%","-$69.56"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/21/2021","SELL","1000.00000000","852,691,000","03/21/2021","852,572,000","0.01%","$82.75"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/21/2021","SELL","1000000.00000000","852,403,000","03/21/2021","852,403,000","0.00%","-$0.10"
"","Bitcoin","BTC/USD","Investing.com","03/21/2021","SELL","100000.00000000","58,246.9","03/21/2021","58,290.0","-0.07%","-$4,310,001.00"
"","Bitcoin","BTC/USD","Investing.com","03/21/2021","BUY","10000.00000000","58,229.4","03/21/2021","58,264.2","0.06%","$347,999.00"
"","Bitcoin","BTC/USD","Investing.com","03/20/2021","SELL","1.00000000","59,530.4","03/20/2021","59,577.6","-0.08%","-$47.70"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/20/2021","BUY","100000000.00000000","861,095,808","03/20/2021","859,828,342","-0.15%","-$88,152,260.30"
"","Bitcoin Euro Index","BTC/EUR","Investing.com","03/20/2021","SELL","100000000.00000000","50,062.1","03/20/2021","49,954.8","0.21%","$12,772,989,989.29"
"","Bitcoin","BTC/USD","Investing.com","03/20/2021","BUY","100000.00000000","58,673.9","03/20/2021","58,688.1","0.02%","$1,419,999.50"
"","Bitcoin","BTC/USD","Investing.com","03/20/2021","SELL","100000.00000000","58,673.5","03/20/2021","58,613.1","0.10%","$6,039,999.50"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/20/2021","BUY","1.00000000","853,496,000","03/20/2021","853,499,000","0.00%","$0.00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/20/2021","SELL","1.00000000","853,499,000","03/20/2021","853,499,000","0.00%","$0.00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/20/2021","BUY","1.00000000","853,496,000","03/20/2021","853,496,000","0.00%","$0.00"
"","Bitcoin","BTC/USD","Investing.com","03/20/2021","BUY","100000.00000000","58,666.1","03/20/2021","58,662.7","-0.01%","-$340,000.50"
"","Bitcoin","BTC/USD","Investing.com","03/20/2021","SELL","100000.00000000","58,700.5","03/20/2021","58,666.1","0.06%","$3,439,999.50"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/20/2021","BUY","1000000000.00000000","848,950,613","03/20/2021","848,862,162","-0.01%","-$61,517,670.50"
"","Bitcoin Euro Index","BTC/EUR","Investing.com","03/20/2021","BUY","1000000000.00000000","49,210.7","03/20/2021","49,252.8","0.09%","$50,115,799,880.96"
"","Bitcoin GBP Index","BTC/GBP","Investing.com","03/20/2021","BUY","1000000000.00000000","42,210.4","03/20/2021","42,240.9","0.07%","$42,318,799,861.25"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/20/2021","BUY","100000000.00000000","847,949,367","03/20/2021","847,689,633","-0.03%","-$18,064,499.70"
"","BTC/IDR","BTC/IDR","Luno","03/20/2021","SELL","1000000000.00000000","848,013,000","03/20/2021","848,013,000","0.00%","-$0.00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/20/2021","BUY","1000000.00000000","847,987,085","03/20/2021","847,987,085","-0.00%","-$0.00"
