"Open Positions Summary"
"","Name","Symbol","Exchange","Type","Amount","Avg Price","Current Price","Extended Hours","Extended Hours (%)","Prev.","Market Value","Commission","Weight","Daily P/L","Daily P/L%","Net P/L%","Net P/L","Next Earnings Date","Exchange","Last","Bid","Ask","Extended Hours","Extended Hours (%)","Open","Prev.","High","Low","Chg.","Chg. %","Vol.","Next Earnings Date","Time","Market Cap","Revenue","Average Vol. (3m)","EPS","P/E Ratio","Beta","Dividend","Yield","5 Minutes","15 Minutes","30 Minutes","Hourly","5 Hours","Daily","Weekly","Monthly","Daily","1 Week","1 Month","YTD","1 Year","3 Years"

"Market Value","Rp0.00"
"Open P/L","Rp0.00 / 0.00%"
"Daily P/L","-Rp24,378,057,691,051,224.00 / -2.17%"
"Total P/L","Rp486,042,708,418,353,024.00"


"Open Positions"
"","Name","Symbol","Exchange","Open Date","Type","Amount","Open Price","Current Price","Extended Hours","Extended Hours (%)","Prev.","Market Value","Commission","Net P/L%","Weight","Daily P/L","Daily P/L%","Net P/L","Next Earnings Date"


"Closed Positions"
"","Name","Symbol","Exchange","Open Date","Type","Amount","Open Price","Close Date","Close Price","Gain%","Net P/L"
"","AUD/USD","AUD/USD","FX","04/28/2021","SELL","999999999999.99999999","0.7747","04/28/2021","0.7747","0.00%","Rp0.00"
"","DJ Islamic Market World",".DJIMI","GLOBAL","04/28/2021","BUY","1.00000000","5,864.38","04/28/2021","5,865.56","0.02%","Rp17,108.23"
"","JPY/KRW","JPY/KRW","FX","04/28/2021","SELL","100000.00000000","10.2125","04/28/2021","10.2103","0.02%","Rp2,867.70"
"","EUR/JPY","EUR/JPY","FX","04/28/2021","SELL","1000000.00000000","131.49","04/28/2021","131.45","0.03%","Rp5,328,800.00"
"","IDR/USD","IDR/USD","FX","04/28/2021","SELL","100000.00000000","0.00006893","04/28/2021","0.00006901","-0.12%","-Rp1.16"
"","EUR/IDR","EUR/IDR","FX","04/28/2021","SELL","1000000.00000000","17,519.1","04/28/2021","17,505.5","0.08%","Rp13,600,000.00"
"","Gold","GCM1","ICE","04/28/2021","BUY","10000000.00000000","1,770.75","04/28/2021","1,771.25","0.03%","Rp72,492,499,998,245.67"
"","Ethereum","ETH/USD","Investing.com","04/28/2021","BUY","1000000000.00000000","2,643.17","04/28/2021","2,635.31","-0.30%","-Rp113,958,210,000,000.00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","04/27/2021","SELL","1000000000.00000000","814,597,216","04/28/2021","815,723,557","-0.14%","-Rp100,000,000,000,000.00"
"","Ethereum IDR Index","ETH/IDR","Investing.com","04/27/2021","SELL","1000000000.00000000","38,048,913","04/28/2021","39,046,919","-2.62%","-Rp100,000,000,000,000.00"
"","Ethereum","ETH/USD","Investing.com","04/27/2021","SELL","1000000000.00000000","2,558.83","04/27/2021","2,558.53","0.01%","Rp4,349,549,999,996.09"
"","USD/ARS","USD/ARS","FX","04/26/2021","BUY","10000.00000000","93.2750","04/27/2021","93.1935","-0.09%","-Rp126,602.10"
"","EUR/USD","EUR/USD","FX","04/27/2021","SELL","100000000000.00000000","1.2089","04/27/2021","1.2087","0.17%","Rp289,969,999,999.97"
"","Bitcoin Cash BTC Index","BCH/BTC","Investing.com","04/26/2021","BUY","1000000000.00000000","0.015417","04/26/2021","0.015429","0.08%","Rp9,775,080,000,000.00"
"","USD/EUR","USD/EUR","FX","04/24/2021","BUY","1.00000000","0.8281","04/26/2021","0.8269","-7.25%","-Rp21.01"
"","GBP/IDR","GBP/IDR","FX","04/25/2021","BUY","100000.00000000","20,164.3","04/26/2021","20,138.5","-127.95%","-Rp2,580,000.00"
"","USD/EUR","USD/EUR","FX","04/24/2021","BUY","1.00000000","0.8265","04/26/2021","0.8269","2.42%","Rp7.00"
"","JPY/IDR","JPY/IDR","FX","04/26/2021","BUY","1000000000.00000000","134.63","04/26/2021","134.44","-141.13%","-Rp190,000,000.00"
"","ARS/IDR","ARS/IDR","FX","04/24/2021","BUY","1000000.00000000","155.97","04/26/2021","155.54","-275.69%","-Rp430,000.00"
"","FTSE All World",".FTAWORLDSR","GLOBAL","04/26/2021","BUY","10000.00000000","464.60","04/26/2021","464.90","0.06%","Rp43,495,500.00"
"","EUR/AUD","EUR/AUD","FX","04/26/2021","BUY","1000000000.00000000","1.5609","04/26/2021","1.5594","-9.61%","-Rp16,844,730,000.00"
"","DJ Islamic Market World",".DJIMI","GLOBAL","04/26/2021","SELL","1.00000000","5,869.03","04/26/2021","5,872.36","-0.06%","-Rp48,280.01"
"","DJ Islamic Market World",".DJIMI","GLOBAL","04/26/2021","BUY","1.00000000","5,868.96","04/26/2021","5,872.36","0.06%","Rp49,294.90"
"","KWD/USD","KWD/USD","FX","04/25/2021","BUY","999999999999.99999999","3.3214","04/26/2021","3.3214","0.00%","Rp0.00"
"","JPY/IDR","JPY/IDR","FX","04/25/2021","BUY","999999999999.99999999","134.63","04/26/2021","134.74","81.71%","Rp110,000,000,000.01"
"","AUD/USD","AUD/USD","FX","04/25/2021","BUY","999999999999.99999999","0.7750","04/26/2021","0.7763","167.74%","Rp18,848,050,000,000.00"
"","SGD/IDR","SGD/IDR","FX","04/25/2021","BUY","999999999999.99999999","10,941.63","04/26/2021","10,955.24","124.39%","Rp13,610,000,000,001.00"
"","XAU/KWD","XAU/KWD","FX","04/25/2021","BUY","999999999999.99999999","534.2550","04/26/2021","534.3050","9.36%","Rp2,406,461,029,997,834.00"
"","Gold","GCM1","ICE","04/25/2021","SELL","10000000000.00000000","1,774.15","04/26/2021","1,774.35","-0.01%","-Rp28,996,999,999,975,000.00"
