"Name","Symbol","Exchange","Last","Bid","Ask","Extended Hours","Extended Hours (%)","Open","Prev.","High","Low","Chg.","Chg. %","Vol.","Next Earnings Date","Time","Market Cap","Revenue","Average Vol. (3m)","EPS","P/E Ratio","Beta","Dividend","Yield","5 Minutes","15 Minutes","30 Minutes","Hourly","5 Hours","Daily","Weekly","Monthly","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"Bank Central Asia Tbk","BBCA.JK","JK","33,525","33,500","33,525","--","--","33,850","33,525","33,850","33,425","0","0.00%","3,906,300","Apr 26, 2021","22:34:46","818,293,600,000,000","46,958,520,000,000","16,730,816","1100.43","30.47","0.91","553.00","1.65%","Buy","Strong Buy","Buy","Buy","Neutral","Neutral","Neutral","Strong Buy","-0.07%","-0.96%","-1.83%","-1.03%","41.50%","43.93%"
"Investing.com Euro Index","inveur","","107.95","-","-","--","--","107.96","107.96","108.07","107.91","-0.01","-0.01%","-","--","22:44:49","-","","-","-","-","-","-","-","Neutral","Neutral","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","-0.02%","0.02%","-0.02%","-0.23%","8.88%","12.02%"
"FTSE Indonesia",".FTWIIDNL","JK","3,250.13","-","-","--","--","3,250.13","3,189.12","3,250.13","3,250.13","+0.00","+0.00%","-","--","17:32:00","-","","-","-","-","-","-","-","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","0.00%","0.71%","0.79%","1.46%","47.43%","-3.91%"
"IDX Kompas 100",".JKKM100","JK","1,219.01","-","-","--","--","1,224.59","1,225.09","1,224.63","1,216.50","-6.08","-0.50%","1,631,211,100","--","22:44:46","-","","7,323,008,922","-","-","-","-","-","Sell","Sell","Neutral","Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","-0.53%","-0.10%","-0.34%","0.97%","52.89%","-6.63%"
"Investing.com Global Currency Reserve BTC Index","GCR/BTC","Investing.com","0.00000002","-","-","--","--","0.00000002","0.00000002","0.00000002","0.00000002","0.00000000","0%","-","--","20:00:12","-","","-","-","-","-","-","-","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Sell","0.00%","100.00%","0.00%","0.00%","-94.74%","-"
"MSCI GCC Ex SA 10-40",".MIGX00005PUS","GLOBAL","752.49","-","-","--","--","750.16","749.87","753.27","746.58","+2.62","+0.35%","-","--","01:00:00","-","","-","-","-","-","-","-","","","","","","Strong Buy","Strong Buy","Strong Buy","0.35%","1.39%","0.99%","4.33%","30.34%","8.48%"
"S&P 500 Futures","ESc1","","3,908.38","3,908.25","3,908.50","--","--","3,910.12","3,906.00","3,918.88","3,905.62","+2.38","+0.06%","-","--","22:44:37","-","","-","-","-","-","-","-","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Buy","Strong Buy","Strong Buy","0.12%","-0.80%","0.20%","4.32%","60.40%","43.59%"
"XAU/USD - Gold Spot US Dollar","XAU/USD - Gold Spot US Dollar","FX","1,730.48","1,730.32","1,730.64","--","--","1,862.42","1,736.72","1,737.77","1,728.59","-6.24","-0.36%","-","--","22:44:48","-","","-","-","-","-","-","-","Neutral","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Neutral","Strong Sell","Neutral","-0.33%","0.27%","-2.87%","-8.72%","15.54%","32.02%"
"Gold Futures","GCJ1","ICE","1,728.95","1,728.90","1,729.00","--","--","1,734.25","1,732.50","1,735.95","1,727.10","-3.55","-0.20%","-","--","22:44:14","-","","-","-","-","-","-","-","Buy","Strong Sell","Strong Sell","Sell","Strong Sell","Neutral","Strong Sell","Neutral","-0.18%","0.56%","-2.70%","-8.74%","15.67%","22.12%"
"Vanguard FTSE Europe Index Fund ETF Shares","VGK","NYSE","63.17","62.77","63.68","63.66","0.78%","63.52","63.96","63.91","63.13","-0.79","-1.24%","2,902,818","--","15:59:59","12,540,000,000","","3,592,822","-9.85","-","0.89","1.60","2.51%","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Neutral","Strong Buy","Strong Buy","Strong Buy","-1.24%","-0.74%","0.85%","4.86%","68.27%","7.49%"
