"Rangkuman Posisi Terbuka"
"","Nama","Simbol","Bursa","Jenis","Jumlah","Harga Rata-Rata","Hrg Skrg","Perpanjangan Waktu","Perpanjangan Waktu (%)","Sblm.","Nilai Pasar","Komisi","Bobot","P/L Harian","P/L Harian %","P/L Bersih%","P/L Bersih","Tanggal Penghasilan Berikutnya","Bursa","Terakhir","Bid","Ask","Perpanjangan Waktu","Perpanjangan Waktu (%)","Pembukaan","Sblm.","Tertinggi","Terendah","Prb.","Prb.%","Vol.","Tanggal Penghasilan Berikutnya","Waktu","Market Cap","Pendapatan","Vol.Rata-Rata (3bln)","EPS","Rasio P/E","Beta","Dividen","Imbal Hasil","5 Menit","15 Menit","30 Menit","Per Jam","5 Jam","Harian","Mingguan","Bulanan","Harian","1 Minggu","1 Bulan","YTD","1 Tahun","3 Tahun"

"Nilai Pasar","Rp0,00"
"P/L Terbuka","Rp0,00 / 0,00%"
"P/L Harian","Rp45.412.277.493.641.632,00 / 0,07%"
"P/L Total","Rp49.209.964.644.144.864,00"


"Posisi Terbuka"
"","Nama","Simbol","Bursa","Tgl Buka","Jenis","Jumlah","Harga Pembukaan","Hrg Skrg","Perpanjangan Waktu","Perpanjangan Waktu (%)","Sblm.","Nilai Pasar","Komisi","P/L Bersih%","Bobot","P/L Harian","P/L Harian %","P/L Bersih","Tanggal Penghasilan Berikutnya"


"Posisi Tertutup"
"","Nama","Simbol","Bursa","Tanggal Pembukaan","Jenis","Jumlah","Harga Pembukaan","Tanggal Penutupan","Harga Penutupan","Untung%","P/L Bersih"
"","USD/EUR","USD/EUR","FX","03/24/2021","Beli","1000000000.00000000","0,8438","03/24/2021","0,8439","4,74%","Rp1.706.168.248,62"
"","JPY/EUR","JPY/EUR","FX","03/24/2021","Beli","1000000000.00000000","0,77695","03/24/2021","0,77705","12,87%","Rp17.059.948,62"
"","USD/CAD","USD/CAD","FX","03/24/2021","Beli","1000000000.00000000","1,2581","03/24/2021","1,2583","6,36%","Rp2.288.006.249,56"
"","USD/AUD","USD/AUD","FX","03/24/2021","Beli","1000000000.00000000","1,3101","03/24/2021","1,3118","51,90%","Rp18.674.209.246,82"
"","BTC/AUD","BTC/AUD","Luno","03/24/2021","Jual","1000000000.00000000","71.650,9","03/24/2021","71.794,7","-200,70%","-Rp1.579.618.554.001.900,00"
"","USD/RUB","USD/RUB","FX","03/24/2021","Beli","1000000000.00000000","76,3260","03/24/2021","76,3799","70,62%","Rp10.158.531.249,12"
"","BTC/EUR","BTC/EUR","Kraken","03/24/2021","Jual","1000000000.00000000","46.010,5","03/24/2021","45.959,9","109,97%","Rp863.322.019.998.276,88"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/24/2021","Jual","10000000.00000000","815.000.000","03/24/2021","810.000.000","613,50%","Rp49.999.999.998.249,00"
"","BTC/CAD","BTC/CAD","Kraken","03/24/2021","Jual","10000000.00000000","69.014,0","03/24/2021","68.297,8","1.037,76%","Rp81.933.566.478.248,53"
"","BTC/BRL","BTC/BRL","MercadoBitcoin","03/24/2021","Jual","10000000.00000000","307.330,0","03/24/2021","303.700,0","590,57%","Rp94.634.462.998.248,11"
"","BTC/USD","BTC/USD","Bitfinex","03/24/2021","Jual","1000000.00000000","55.056,0","03/24/2021","54.492,0","204,88%","Rp8.118.779.998.249,42"
"","BTC/UAH","BTC/UAH","Exmo","03/24/2021","Jual","10000000.00000000","1.528.000","03/24/2021","1.514.901","857,26%","Rp67.881.637.798.248,41"
"","BCH/CAD","BCH/CAD","Synthetic","03/24/2021","Jual","100000000.00000000","647,98","03/24/2021","644,46","543,23%","Rp4.026.894.079.990,62"
"","BCH/BTC","BCH/BTC","Bittrex","03/24/2021","Beli","1000000000.00000000","0,00940","03/24/2021","0,00941","0,11%","Rp8.109.289.998.378,14"
"","BTC/AUD","BTC/AUD","BTC Markets","03/24/2021","Beli","1000000000.00000000","71.574,6","03/24/2021","71.564,9","-13,55%","-Rp106.552.851.001.830,00"
"","BTC/JPY","BTC/JPY","bitFlyer","03/24/2021","Jual","1000000.00000000","5.982.569","03/24/2021","5.916.438","1.105,39%","Rp8.764.341.428.249,41"
"","BTC/RUB","BTC/RUB","Exmo","03/24/2021","Jual","1000000.00000000","4.089.052","03/24/2021","4.040.247","1.193,55%","Rp9.198.278.350.000,00"
"","BTC/GBP","BTC/GBP","Coinbase Pro","03/24/2021","Jual","1000000.00000000","39.958,4","03/24/2021","39.570,0","388,80%","Rp7.687.911.918.249,44"
"","BTC/EUR","BTC/EUR","Kraken","03/24/2021","Jual","1000000.00000000","46.497,3","03/24/2021","45.903,5","255,41%","Rp10.131.237.458.248,62"
"","BTC/SAR","BTC/SAR","Synthetic","03/24/2021","Jual","1000000.00000000","206.277,4","03/24/2021","204.193,6","1.010,19%","Rp7.998.374.566.248,94"
"","BTC/AUD","BTC/AUD","Independent Reserve","03/24/2021","Jual","1000000.00000000","72.553,87","03/24/2021","71.674,66","1.211,80%","Rp9.657.972.384.299,89"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/24/2021","Jual","1000000000.00000000","813.557.000","03/24/2021","810.000.000","437,22%","Rp100.000.000.000.000,00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/24/2021","Beli","1000000000.00000000","812.785.831","03/24/2021","810.019.652","-0,34%","-Rp100.000.000.000.000,00"
"","BTC/IDR","BTC/IDR","Luno","03/24/2021","Jual","1000000000.00000000","812.470.000","03/24/2021","810.666.000","88,82%","Rp100.000.000.000.000,00"
"","BTC/KRW","BTC/KRW","Bithumb","03/24/2021","Beli","1000000.00000000","65.583.000","03/24/2021","65.440.000","-109,02%","-Rp1.816.100.001.750,80"
"","BTC/EUR","BTC/EUR","Binance","03/24/2021","Jual","1000000000.00000000","46.424,5","03/24/2021","45.973,7","971,04%","Rp7.691.414.359.998.295,00"
"","ETH/BTC","ETH/BTC","Poloniex","03/24/2021","Beli","1000000000.00000000","0,030996","03/24/2021","0,030713","-913,02%","-Rp229.492.907.000.000,00"
"","ETH/BTC","ETH/BTC","Coinbene","03/24/2021","Jual","1000000000.00000000","0,030992","03/24/2021","0,030993","-0,65%","-Rp810.929.000.000,00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/24/2021","Beli","1000000000.00000000","815.030.105","03/24/2021","812.735.298","-0,28%","-Rp100.000.000.000.000,00"
