"Open Positions Summary"
"","Name","Symbol","Exchange","Type","Amount","Avg Price","Current Price","Extended Hours","Extended Hours (%)","Prev.","Market Value","Commission","Weight","Daily P/L","Daily P/L%","Net P/L%","Net P/L","Next Earnings Date","Exchange","Last","Bid","Ask","Extended Hours","Extended Hours (%)","Open","Prev.","High","Low","Chg.","Chg. %","Vol.","Next Earnings Date","Time","Market Cap","Revenue","Average Vol. (3m)","EPS","P/E Ratio","Beta","Dividend","Yield","5 Minutes","15 Minutes","30 Minutes","Hourly","5 Hours","Daily","Weekly","Monthly","Daily","1 Week","1 Month","YTD","1 Year","3 Years"

"Market Value","Rp0.00"
"Open P/L","Rp0.00 / 0.00%"
"Daily P/L","Rp73,689,088,624,458,400.00 / 0.35%"
"Total P/L","Rp54,243,959,972,265,416.00"


"Open Positions"
"","Name","Symbol","Exchange","Open Date","Type","Amount","Open Price","Current Price","Extended Hours","Extended Hours (%)","Prev.","Market Value","Commission","Net P/L%","Weight","Daily P/L","Daily P/L%","Net P/L","Next Earnings Date"


"Closed Positions"
"","Name","Symbol","Exchange","Open Date","Type","Amount","Open Price","Close Date","Close Price","Gain%","Net P/L"
"","IDR/JPY","IDR/JPY","FX","03/24/2021","BUY","1000000000.00000000","0.7514","03/24/2021","0.7509","-0.07%","-Rp665,450.00"
"","Bitcoin","BTC/USD","Investing.com","03/24/2021","SELL","100000000.00000000","54,385.8","03/24/2021","54,091.6","0.54%","Rp425,339,650,000,000.00"
"","Bitcoin","BTC/USD","Investing.com","03/24/2021","SELL","100000000.00000000","54,198.5","03/24/2021","54,037.9","0.30%","Rp232,187,450,000,000.00"
"","BTC/IDR","BTC/IDR","Luno","03/24/2021","BUY","1000000.00000000","802,399,000","03/24/2021","799,255,000","-39.18%","-Rp3,144,000,000,000.00"
"","BTC/USD","BTC/USD","Bitfinex","03/24/2021","BUY","500000.00000000","54,507.0","03/24/2021","54,115.0","-71.92%","-Rp2,833,670,000,000.00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/24/2021","SELL","100000000.00000000","803,061,000","03/24/2021","802,721,000","4.23%","Rp33,999,999,986,680.00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/24/2021","SELL","1000000.00000000","803,062,000","03/24/2021","802,720,000","4.26%","Rp341,999,998,668.00"
"","BTC/RUB","BTC/RUB","Exmo","03/24/2021","SELL","100000000.00000000","4,037,652","03/24/2021","4,033,637","9.94%","Rp76,072,204,992,747.08"
"","BTC/AUD","BTC/AUD","BTC Markets","03/24/2021","SELL","100000000.00000000","71,720.0","03/24/2021","71,500.7","30.58%","Rp240,548,196,233,473.56"
"","BTC/GBP","BTC/GBP","Coinbase Pro","03/24/2021","SELL","100000000.00000000","39,650.0","03/24/2021","39,502.1","37.30%","Rp292,439,711,933,306.38"
"","BTC/SAR","BTC/SAR","Synthetic","03/24/2021","SELL","100000000.00000000","204,055.9","03/24/2021","203,083.3","47.66%","Rp374,949,943,788,939.62"
"","BTC/JPY","BTC/JPY","bitFlyer","03/24/2021","SELL","100000000.00000000","5,909,784","03/24/2021","5,879,594","51.08%","Rp401,798,709,920,944.56"
"","BTC/CAD","BTC/CAD","Kraken","03/24/2021","SELL","100000000.00000000","68,751.4","03/24/2021","68,283.4","680.71%","Rp536,928,911,975,620.25"
"","BTC/EUR","BTC/EUR","Kraken","03/24/2021","SELL","100000000.00000000","46,031.8","03/24/2021","45,758.7","593.29%","Rp466,831,677,992,290.69"
"","Bitcoin","BTC/USD","Investing.com","03/24/2021","SELL","400000000.00000000","54,315.0","03/24/2021","54,116.4","0.37%","Rp1,148,503,798,322,915.50"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/24/2021","SELL","1000000.00000000","803,062,000","03/24/2021","802,721,000","0.04%","Rp341,000,000,000.00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/24/2021","SELL","1000000.00000000","803,061,000","03/24/2021","802,720,000","4.25%","Rp341,000,000,000.00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/24/2021","BUY","500000000.00000000","805,141,191","03/24/2021","802,567,246","-0.32%","-Rp100,000,000,000,000.00"
"","BTC/IDR","BTC/IDR","Luno","03/24/2021","BUY","2000000.00000000","802,399,000","03/24/2021","799,253,000","-39.21%","-Rp6,292,000,000,000.00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/24/2021","BUY","1000000.00000000","804,979,000","03/24/2021","802,723,000","-280.26%","-Rp2,256,000,000,000.00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/24/2021","SELL","1000000.00000000","803,061,000","03/24/2021","802,722,000","4.22%","Rp339,000,000,000.00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/24/2021","BUY","100000000.00000000","804,977,000","03/24/2021","804,343,000","-7.88%","-Rp63,400,000,000,000.00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/24/2021","BUY","100000000.00000000","804,977,000","03/24/2021","804,343,000","-7.88%","-Rp63,400,000,000,000.00"
"","BTC/JPY","BTC/JPY","bitFlyer","03/24/2021","BUY","700000.00000000","5,903,906","03/24/2021","5,893,163","-18.20%","-Rp1,000,850,109,000.00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/24/2021","BUY","100000000.00000000","803,309,000","03/24/2021","804,972,000","20.70%","Rp100,000,000,000,000.00"
"","BTC/USD","BTC/USD","Bitfinex","03/24/2021","SELL","1000000.00000000","54,480.0","03/24/2021","54,388.4","16.81%","Rp1,324,306,999,999.99"
"","BTC/JPY","BTC/JPY","bitFlyer","03/24/2021","SELL","700000.00000000","5,903,906","03/24/2021","5,897,355","11.10%","Rp610,310,813,000.00"
"","BTC/USD","BTC/USD","Bitfinex","03/24/2021","SELL","500000.00000000","54,553.5","03/24/2021","54,318.9","43.00%","Rp1,695,864,750,000.00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/24/2021","BUY","500000000.00000000","802,951,589","03/24/2021","803,502,798","0.07%","Rp100,000,000,000,000.00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/24/2021","SELL","400000000.00000000","804,248,000","03/24/2021","803,709,000","6.70%","Rp100,000,000,000,000.00"
"","BTC/JPY","BTC/JPY","bitFlyer","03/24/2021","SELL","500000.00000000","5,903,906","03/24/2021","5,888,264","264.94%","Rp1,040,896,888,669.10"
