"Rangkuman Posisi Terbuka"
"","Nama","Simbol","Bursa","Jenis","Jumlah","Harga Rata-Rata","Hrg Skrg","Perpanjangan Waktu","Perpanjangan Waktu (%)","Sblm.","Nilai Pasar","Komisi","Bobot","P/L Harian","P/L Harian %","P/L Bersih%","P/L Bersih","Tanggal Penghasilan Berikutnya","Bursa","Terakhir","Bid","Ask","Perpanjangan Waktu","Perpanjangan Waktu (%)","Pembukaan","Sblm.","Tertinggi","Terendah","Prb.","Prb.%","Vol.","Tanggal Penghasilan Berikutnya","Waktu","Market Cap","Pendapatan","Vol.Rata-Rata (3bln)","EPS","Rasio P/E","Beta","Dividen","Imbal Hasil","5 Menit","15 Menit","30 Menit","Per Jam","5 Jam","Harian","Mingguan","Bulanan","Harian","1 Minggu","1 Bulan","YTD","1 Tahun","3 Tahun"

"Nilai Pasar","$0,00"
"P/L Terbuka","$0,00 / 0,00%"
"P/L Harian","$2.627.541.973.817,49 / 0,03%"
"P/L Total","$13.141.571.950.618,89"


"Posisi Terbuka"
"","Nama","Simbol","Bursa","Tgl Buka","Jenis","Jumlah","Harga Pembukaan","Hrg Skrg","Perpanjangan Waktu","Perpanjangan Waktu (%)","Sblm.","Nilai Pasar","Komisi","P/L Bersih%","Bobot","P/L Harian","P/L Harian %","P/L Bersih","Tanggal Penghasilan Berikutnya"


"Posisi Tertutup"
"","Nama","Simbol","Bursa","Tanggal Pembukaan","Jenis","Jumlah","Harga Pembukaan","Tanggal Penutupan","Harga Penutupan","Untung%","P/L Bersih"
"","ETH/IDR","ETH/IDR","BitcoinIndonesia","03/25/2021","Jual","1000000000.00000000","24.224.000","03/25/2021","23.885.000","1,40%","$234.655.799,93"
"","ETH/SAR","ETH/SAR","Synthetic","03/25/2021","Jual","1000000000.00000000","6.147,04","03/25/2021","5.919,82","3,70%","$60.576.899.993,08"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/25/2021","Jual","1000000000.00000000","811.008.000","03/25/2021","788.999.000","2,71%","$15.239.031.599,93"
"","BTC/USD","BTC/USD","Bitfinex","03/25/2021","Jual","1000000000.00000000","55.059,0","03/25/2021","52.350,0","4,92%","$2.708.999.999.999,90"
"","BTC/RUB","BTC/RUB","Exmo","03/25/2021","Jual","1000000000.00000000","4.081.255","03/25/2021","3.905.516","4,31%","$2.295.151.339.993,10"
"","BTC/SAR","BTC/SAR","Synthetic","03/25/2021","Jual","1000000000.00000000","206.396,3","03/25/2021","196.820,2","4,64%","$2.552.988.299.993,10"
"","ETH/RUB","ETH/RUB","Exmo","03/25/2021","Jual","1000000000.00000000","121.600,0","03/25/2021","117.702,1","3,21%","$50.906.569.993,08"
"","ETH/USD","ETH/USD","Binance","03/25/2021","Jual","1000000000.00000000","1.635,00","03/25/2021","1.579,82","3,37%","$55.179.999.999,93"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/25/2021","Jual","100000000.00000000","820.817.000","03/25/2021","821.200.000","-0,05%","-$26.480.620,00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/25/2021","Jual","100000000.00000000","820.817.000","03/25/2021","821.200.000","-0,05%","-$26.480.620,00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/25/2021","Jual","100000000.00000000","820.817.000","03/25/2021","821.205.000","-0,05%","-$26.826.320,00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/25/2021","Jual","100000000.00000000","820.817.000","03/25/2021","821.205.000","-0,05%","-$26.826.320,00"
"","BTC/USD","BTC/USD","Bitfinex","03/25/2021","Jual","100000000.00000000","56.118,0","03/25/2021","55.867,0","0,45%","$25.099.998.265,66"
"","BTC/USD","BTC/USD","Bitfinex","03/25/2021","Jual","100000000.00000000","56.090,0","03/25/2021","55.858,0","0,41%","$23.199.998.265,66"
"","BTC/USD","BTC/USD","Binance","03/25/2021","Jual","200000000.00000000","56.067,2","03/25/2021","55.837,8","0,41%","$45.879.996.531,36"
"","Bitcoin","BTC/USD","Investing.com","03/25/2021","Beli","1000000000.00000000","56.067,3","03/25/2021","56.086,5","0,03%","$19.199.999.979,00"
"","Bitcoin","BTC/USD","Investing.com","03/25/2021","Beli","1000000000.00000000","56.070,6","03/25/2021","56.088,9","0,03%","$18.299.999.979,00"
"","Bitcoin","BTC/USD","Investing.com","03/25/2021","Beli","1000000000.00000000","56.069,5","03/25/2021","56.088,9","0,03%","$19.399.999.979,00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/25/2021","Jual","1000000000.00000000","822.150.000","03/25/2021","822.000.000","1,82%","$103.724.999,83"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/25/2021","Jual","1000000000.00000000","822.310.000","03/25/2021","822.299.000","0,13%","$7.606.499,83"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/25/2021","Beli","1000000000.00000000","823.057.391","03/25/2021","822.473.913","-0,07%","-$403.475.037,00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/25/2021","Beli","1000000000.00000000","823.057.391","03/25/2021","822.473.913","-0,07%","-$403.475.037,00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/25/2021","Beli","1000000000.00000000","823.057.391","03/25/2021","822.473.913","-0,07%","-$403.475.037,00"
"","Bitcoin","BTC/USD","Investing.com","03/25/2021","Jual","1000000000.00000000","56.159,5","03/25/2021","56.117,5","0,07%","$41.999.999.979,00"
"","Bitcoin KRW Index","BTC/KRW","Investing.com","03/25/2021","Jual","1000000000.00000000","67.628.747","03/25/2021","67.590.426","0,06%","$33.799.121.999,12"
"","Bitcoin JPY Index","BTC/JPY","Investing.com","03/25/2021","Jual","1000000000.00000000","6.117.878","03/25/2021","6.116.853","0,02%","$9.424.875.000,00"
"","Bitcoin KRW Index","BTC/KRW","Investing.com","03/25/2021","Jual","1000000000.00000000","67.647.749","03/25/2021","67.628.747","0,03%","$16.759.764.000,00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/25/2021","Beli","1000000000.00000000","822.782.870","03/25/2021","822.818.261","0,00%","$24.469.340,00"
"","Bitcoin","BTC/USD","Investing.com","03/25/2021","Jual","1000000000.00000000","56.270,2","03/25/2021","56.169,2","0,18%","$100.999.999.976,00"
"","XAU/IDR","XAU/IDR","FX","03/25/2021","Jual","1000000000.00000000","250.183,61","03/25/2021","250.232,65","-1,96%","-$33.911,16"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/25/2021","Jual","10.00000000","822.863.000","03/25/2021","822.864.000","-0,00%","-$0,01"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/25/2021","Jual","1000000000.00000000","822.036.194","03/25/2021","822.782.913","-0,09%","-$516.356.188,50"
"","Bitcoin RUB Index","BTC/RUB","Investing.com","03/25/2021","Jual","1000000000.00000000","4.122.503","03/25/2021","4.144.783","-0,54%","-$292.090.800.000,00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/25/2021","Jual","1000000000.00000000","817.864.612","03/25/2021","822.782.913","-0,60%","-$3.401.005.141,50"
"","BTC/JPY","BTC/JPY","bitFlyer","03/25/2021","Jual","200000000.00000000","6.078.957","03/25/2021","6.121.718","-0,70%","-$78.616.098.500,00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/25/2021","Jual","10000000.00000000","822.312.000","03/25/2021","822.863.000","-6,70%","-$3.810.165,00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/25/2021","Jual","10000000.00000000","821.638.000","03/25/2021","822.863.000","-14,91%","-$8.470.875,00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/25/2021","Jual","10.00000000","822.984.000","03/25/2021","822.863.000","0,37%","$0,84"
"","Bitcoin","BTC/USD","Investing.com","03/25/2021","Jual","10.00000000","56.005,1","03/25/2021","56.226,7","-0,40%","-$2.216,00"
"","Bitcoin KRW Index","BTC/KRW","Investing.com","03/25/2021","Beli","1000000000.00000000","67.345.016","03/25/2021","67.727.242","0,57%","$337.123.331.999,95"
"","Bitcoin","BTC/USD","Investing.com","03/25/2021","Beli","1000000000.00000000","55.841,0","03/25/2021","56.188,1","0,62%","$347.099.999.900,00"
"","Bitcoin","BTC/USD","Investing.com","03/25/2021","Beli","200000000.00000000","55.873,7","03/25/2021","56.067,2","0,35%","$38.699.999.990,00"
"","BTC/EUR","BTC/EUR","Binance","03/24/2021","Beli","1.00000000","47.513,9","03/24/2021","47.421,9","-193,63%","-$108,90"
"","EUR/USD","EUR/USD","FX","03/24/2021","Beli","1.00000000","1,1832","03/24/2021","1,1835","25,35%","$0,00"
"","RUB/IDR","RUB/IDR","FX","03/24/2021","Beli","1.00000000","188,75","03/24/2021","188,77","10,60%","$0,00"
"","BTC/RUB","BTC/RUB","Exmo","03/24/2021","Jual","100000000.00000000","4.161.530","03/24/2021","4.187.675","-62,83%","-$34.354.530.000,00"
