"Open Positions Summary"
"","Name","Symbol","Exchange","Type","Amount","Avg Price","Current Price","Extended Hours","Extended Hours (%)","Prev.","Market Value","Commission","Weight","Daily P/L","Daily P/L%","Net P/L%","Net P/L","Next Earnings Date","Exchange","Last","Bid","Ask","Extended Hours","Extended Hours (%)","Open","Prev.","High","Low","Chg.","Chg. %","Vol.","Next Earnings Date","Time","Market Cap","Revenue","Average Vol. (3m)","EPS","P/E Ratio","Beta","Dividend","Yield","5 Minutes","15 Minutes","30 Minutes","Hourly","5 Hours","Daily","Weekly","Monthly","Daily","1 Week","1 Month","YTD","1 Year","3 Years"

"Market Value","$0.00"
"Open P/L","$0.00 / 0.00%"
"Daily P/L","$5,397,328,808,341.19 / 0.06%"
"Total P/L","$5,707,386,529,085.00"


"Open Positions"
"","Name","Symbol","Exchange","Open Date","Type","Amount","Open Price","Current Price","Extended Hours","Extended Hours (%)","Prev.","Market Value","Commission","Net P/L%","Weight","Daily P/L","Daily P/L%","Net P/L","Next Earnings Date"


"Closed Positions"
"","Name","Symbol","Exchange","Open Date","Type","Amount","Open Price","Close Date","Close Price","Gain%","Net P/L"
"","XAU/KWD","XAU/KWD","FX","03/19/2021","SELL","1000000000.00000000","524.0800","03/19/2021","524.5300","-85.86%","-$1,489,950,001.00"
"","XAU/USD","XAU/USD","FX","03/19/2021","SELL","1000000000.00000000","1,734.76","03/19/2021","1,736.72","-112.98%","-$1,960,000,001.00"
"","XAU/IDR","XAU/IDR","FX","03/19/2021","SELL","1000000000.00000000","249,926.40","03/19/2021","250,259.24","-133.18%","-$230,658.14"
"","XAU/SAR","XAU/SAR","FX","03/19/2021","SELL","1000000000.00000000","6,506.1300","03/19/2021","6,513.6850","-116.12%","-$2,014,163,001.00"
"","XAU/JPY","XAU/JPY","FX","03/19/2021","SELL","1000000000.00000000","188,810.50","03/19/2021","189,170.50","-190.67%","-$3,304,800,001.00"
"","Gold","GCJ1","ICE","03/19/2021","BUY","1000000000.00000000","1,731.25","03/19/2021","1,734.45","0.18%","$3,199,999,999,990.00"
"","XAU/CAD","XAU/CAD","FX","03/19/2021","SELL","1000000000.00000000","2,172.72","03/19/2021","2,170.88","84.69%","$1,470,699,999.00"
"","Gold","GCJ1","ICE","03/19/2021","BUY","1000000000.00000000","1,731.55","03/19/2021","1,732.30","0.04%","$749,999,999,990.00"
"","Gold","GCJ1","ICE","03/19/2021","BUY","1000000000.00000000","1,731.35","03/19/2021","1,732.15","0.05%","$799,999,999,990.18"
"","Gold","GCJ1","ICE","03/19/2021","BUY","1000000000.00000000","1,731.55","03/19/2021","1,732.15","0.03%","$599,999,999,990.14"
"","BTC/XAU","BTC/XAU","Synthetic","03/19/2021","SELL","1000000000.00000000","33.3059","03/19/2021","33.2578","0.14%","$83,412,614,998.96"
"","Gold","GCJ1","ICE","03/19/2021","BUY","1000000000.00000000","1,731.75","03/19/2021","1,732.05","0.02%","$299,999,999,989.95"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/19/2021","SELL","1000000000.00000000","842,542,284","03/19/2021","842,293,104","0.03%","$172,357,810.00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/19/2021","SELL","1000000000.00000000","846,144,000","03/19/2021","846,144,000","0.00%","-$0.10"
"","Gold","GCJ1","ICE","03/19/2021","SELL","1000000000.00000000","1,732.45","03/19/2021","1,732.05","0.02%","$40,399,999,999.01"
"","Bitcoin","BTC/USD","Investing.com","03/19/2021","BUY","1000000000.00000000","58,163.5","03/19/2021","58,104.2","-0.10%","-$59,300,000,010.00"

"Closed P/L","$5,707,386,529,085.00"


